label,threshold,test_positive_count,best_f2,precision_at_threshold,recall_at_threshold
aggressive_tone,0.1,22,0.5652173913043478,0.48148148148148145,0.5909090909090909
hookup_focus,0.5,5,-1.0,0.0,0.0
negativity,0.1,13,0.2564102564102564,0.15384615384615385,0.3076923076923077
sarcasm_cynicism,0.15,81,0.8476394849785408,0.5563380281690141,0.9753086419753086
substance_risk,0.1,79,0.8016877637130801,0.4810126582278481,0.9620253164556962
incomplete_profile,0.45,28,0.5864197530864198,0.38,0.6785714285714286
controlling_behavior,0.1,6,0.5172413793103449,0.6,0.5
emotional_manipulation,0.25,5,0.9259259259259259,0.7142857142857143,1.0
entitlement_superiority,0.3,7,0.5555555555555556,0.5,0.5714285714285714
poor_conflict_resolution,0.1,10,0.7272727272727273,0.5333333333333333,0.8
main_character_syndrome,0.35,1,0.8333333333333334,0.5,1.0
dismissive,0.1,30,0.6117021276595744,0.3382352941176471,0.7666666666666667
